,city,city_ascii,lat,lng,country,iso2,iso3,admin_name,capital,population,country_cyrilic
24,Chicago,Chicago,41.8373,-87.6862,United States,US,USA,Illinois,,8675982.0,Соединети Американски Држави
25,London,London,51.5,-0.1167,United Kingdom,GB,GBR,"London, City of",primary,8567000.0,Обединето Кралство
26,Lima,Lima,-12.048,-77.0501,Peru,PE,PER,Lima,primary,8012000.0,Перу
27,Tehran,Tehran,35.6719,51.4243,Iran,IR,IRN,Tehrān,primary,7873000.0,Иран
28,Kinshasa,Kinshasa,-4.3297,15.315,Congo (Kinshasa),CD,COD,Kinshasa,primary,7843000.0,Конго - Киншаса
29,Bogotá,Bogota,4.5964,-74.0833,Colombia,CO,COL,Bogotá,primary,7772000.0,Колумбија
30,Shenzhen,Shenzhen,22.5524,114.1221,China,CN,CHN,Guangdong,minor,7581000.0,Кина
31,Wuhan,Wuhan,30.58,114.27,China,CN,CHN,Hubei,admin,7243000.0,Кина
32,Hong Kong,Hong Kong,22.305,114.185,Hong Kong,HK,HKG,,,7206000.0,Хонг Конг С.А.Р Кина
33,Tianjin,Tianjin,39.13,117.2,China,CN,CHN,Tianjin,admin,7180000.0,Кина
34,Chennai,Chennai,13.09,80.28,India,IN,IND,Tamil Nādu ,admin,7163000.0,Индија
35,Taipei,Taipei,25.0358,121.5683,Taiwan,TW,TWN,Taipei,primary,6900273.0,Тајван
36,Bengalūru,Bengaluru,12.97,77.56,India,IN,IND,Karnātaka,admin,6787000.0,Индија
37,Bangkok,Bangkok,13.75,100.5166,Thailand,TH,THA,Krung Thep Maha Nakhon,primary,6704000.0,Тајланд
38,Lahore,Lahore,31.56,74.35,Pakistan,PK,PAK,Punjab,admin,6577000.0,Пакистан
39,Chongqing,Chongqing,29.565,106.595,China,CN,CHN,Chongqing,admin,6461000.0,Кина
40,Miami,Miami,25.7839,-80.2102,United States,US,USA,Florida,,6381966.0,Соединети Американски Држави
41,Hyderabad,Hyderabad,17.4,78.48,India,IN,IND,Telangana,admin,6376000.0,Индија
42,Dallas,Dallas,32.7936,-96.7662,United States,US,USA,Texas,,5733259.0,Соединети Американски Држави
43,Santiago,Santiago,-33.45,-70.667,Chile,CL,CHL,Región Metropolitana,primary,5720000.0,Чиле
44,Philadelphia,Philadelphia,40.0077,-75.1339,United States,US,USA,Pennsylvania,,5637884.0,Соединети Американски Држави
45,Belo Horizonte,Belo Horizonte,-19.915,-43.915,Brazil,BR,BRA,Minas Gerais,admin,5575000.0,Бразил
46,Madrid,Madrid,40.4,-3.6834,Spain,ES,ESP,Madrid,primary,5567000.0,Шпанија
47,Houston,Houston,29.7869,-95.3905,United States,US,USA,Texas,,5446468.0,Соединети Американски Држави
48,Ahmadābād,Ahmadabad,23.0301,72.58,India,IN,IND,Gujarāt,minor,5375000.0,Индија
49,Ho Chi Minh City,Ho Chi Minh City,10.78,106.695,Vietnam,VN,VNM,Hồ Chí Minh,admin,5314000.0,Виетнам
50,Washington,Washington,38.9047,-77.0163,United States,US,USA,District of Columbia,primary,5289420.0,Соединети Американски Држави
51,Atlanta,Atlanta,33.7627,-84.4225,United States,US,USA,Georgia,admin,5228750.0,Соединети Американски Држави
52,Toronto,Toronto,43.7,-79.42,Canada,CA,CAN,Ontario,admin,5213000.0,Канада
53,Singapore,Singapore,1.293,103.8558,Singapore,SG,SGP,,primary,5183700.0,Сингапур
54,Luanda,Luanda,-8.8383,13.2344,Angola,AO,AGO,Luanda,primary,5172900.0,Ангола
55,Baghdad,Baghdad,33.3386,44.3939,Iraq,IQ,IRQ,Baghdād,primary,5054000.0,Ирак
56,Barcelona,Barcelona,41.3833,2.1834,Spain,ES,ESP,Catalonia,admin,4920000.0,Шпанија
57,Hāora,Haora,22.5804,88.3299,India,IN,IND,West Bengal,,4841638.0,Индија
58,Shenyang,Shenyang,41.805,123.45,China,CN,CHN,Liaoning,admin,4787000.0,Кина
59,Khartoum,Khartoum,15.5881,32.5342,Sudan,SD,SDN,Khartoum,primary,4754000.0,Судан
60,Pune,Pune,18.53,73.85,India,IN,IND,Mahārāshtra,,4672000.0,Индија
61,Boston,Boston,42.3188,-71.0846,United States,US,USA,Massachusetts,admin,4637537.0,Соединети Американски Држави
62,Sydney,Sydney,-33.92,151.1852,Australia,AU,AUS,New South Wales,admin,4630000.0,Австралија
63,Saint Petersburg,Saint Petersburg,59.939,30.316,Russia,RU,RUS,Sankt-Peterburg,admin,4553000.0,Русија
64,Chittagong,Chittagong,22.33,91.8,Bangladesh,BD,BGD,Chittagong,admin,4529000.0,Бангладеш
65,Dongguan,Dongguan,23.0489,113.7447,China,CN,CHN,Guangdong,minor,4528000.0,Кина
66,Riyadh,Riyadh,24.6408,46.7727,Saudi Arabia,SA,SAU,Ar Riyāḑ,primary,4465000.0,Саудиска Арабија
67,Hanoi,Hanoi,21.0333,105.85,Vietnam,VN,VNM,Hà Nội,primary,4378000.0,Виетнам
68,Guadalajara,Guadalajara,20.67,-103.33,Mexico,MX,MEX,Jalisco,admin,4198000.0,Мексико
69,Melbourne,Melbourne,-37.82,144.975,Australia,AU,AUS,Victoria,admin,4170000.0,Австралија
70,Alexandria,Alexandria,31.2,29.95,Egypt,EG,EGY,Al Iskandarīyah,admin,4165000.0,Египет
71,Chengdu,Chengdu,30.67,104.07,China,CN,CHN,Sichuan,admin,4123000.0,Кина
72,Rangoon,Rangoon,16.7834,96.1667,Burma,MM,MMR,Yangon,primary,4088000.0,Мјанмар (Бурма)
73,Phoenix,Phoenix,33.5722,-112.0891,United States,US,USA,Arizona,admin,4081849.0,Соединети Американски Држави
74,Xi’an,Xi'an,34.275,108.895,China,CN,CHN,Shaanxi,admin,4009000.0,Кина
75,Porto Alegre,Porto Alegre,-30.05,-51.2,Brazil,BR,BRA,Rio Grande do Sul,admin,3917000.0,Бразил
76,Sūrat,Surat,21.2,72.84,India,IN,IND,Gujarāt,,3842000.0,Индија
77,Hechi,Hechi,23.0965,109.6091,China,CN,CHN,Guangxi,,3830000.0,Кина
78,Abidjan,Abidjan,5.32,-4.04,Côte D’Ivoire,CI,CIV,Abidjan,primary,3802000.0,Брегот на Слоновата Коска
79,Brasília,Brasilia,-15.7833,-47.9161,Brazil,BR,BRA,Distrito Federal,primary,3716996.0,Бразил
80,Ankara,Ankara,39.9272,32.8644,Turkey,TR,TUR,Ankara,primary,3716000.0,Турција
81,Monterrey,Monterrey,25.67,-100.33,Mexico,MX,MEX,Nuevo León,admin,3712000.0,Мексико
82,Yokohama,Yokohama,35.32,139.58,Japan,JP,JPN,Kanagawa,admin,3697894.0,Јапонија
83,Nanjing,Nanjing,32.05,118.78,China,CN,CHN,Jiangsu,admin,3679000.0,Кина
84,Montréal,Montreal,45.5,-73.5833,Canada,CA,CAN,Québec,,3678000.0,Канада
85,Guiyang,Guiyang,26.58,106.72,China,CN,CHN,Guizhou,admin,3662000.0,Кина
86,Recife,Recife,-8.0756,-34.9156,Brazil,BR,BRA,Pernambuco,admin,3651000.0,Бразил
87,Seattle,Seattle,47.6211,-122.3244,United States,US,USA,Washington,,3643765.0,Соединети Американски Држави
88,Harbin,Harbin,45.75,126.65,China,CN,CHN,Heilongjiang,admin,3621000.0,Кина
89,San Francisco,San Francisco,37.7562,-122.443,United States,US,USA,California,,3603761.0,Соединети Американски Држави
90,Fortaleza,Fortaleza,-3.75,-38.58,Brazil,BR,BRA,Ceará,admin,3602319.0,Бразил
91,Zhangzhou,Zhangzhou,24.5204,117.67,China,CN,CHN,Fujian,minor,3531147.0,Кина
92,Detroit,Detroit,42.3834,-83.1024,United States,US,USA,Michigan,,3522206.0,Соединети Американски Држави
93,Salvador,Salvador,-12.97,-38.48,Brazil,BR,BRA,Bahia,admin,3484000.0,Бразил
94,Busan,Busan,35.0951,129.01,"Korea, South",KR,KOR,Busan,admin,3480000.0,Јужна Кореја
95,Johannesburg,Johannesburg,-26.17,28.03,South Africa,ZA,ZAF,Gauteng,admin,3435000.0,Јужноафриканска Република
96,Berlin,Berlin,52.5218,13.4015,Germany,DE,DEU,Berlin,primary,3406000.0,Германија
97,Algiers,Algiers,36.7631,3.0506,Algeria,DZ,DZA,Alger,primary,3354000.0,Алжир
98,Rome,Rome,41.896,12.4833,Italy,IT,ITA,Lazio,primary,3339000.0,Италија
99,Pyongyang,Pyongyang,39.0194,125.7547,"Korea, North",KP,PRK,P’yŏngyang,primary,3300000.0,Северна Кореја
100,Medellín,Medellin,6.275,-75.575,Colombia,CO,COL,Antioquia,admin,3297000.0,Колумбија
101,Kabul,Kabul,34.5167,69.1833,Afghanistan,AF,AFG,Kābul,primary,3277000.0,Авганистан
102,Athens,Athens,37.9833,23.7333,Greece,GR,GRC,Attikí,primary,3242000.0,Грција
103,Nagoya,Nagoya,35.155,136.915,Japan,JP,JPN,Aichi,admin,3230000.0,Јапонија
104,Cape Town,Cape Town,-33.92,18.435,South Africa,ZA,ZAF,Western Cape,primary,3215000.0,Јужноафриканска Република
105,San Diego,San Diego,32.8312,-117.1225,United States,US,USA,California,,3210314.0,Соединети Американски Држави
106,Changchun,Changchun,43.865,125.34,China,CN,CHN,Jilin,admin,3183000.0,Кина
107,Casablanca,Casablanca,33.6,-7.6164,Morocco,MA,MAR,Casablanca-Settat,admin,3181000.0,Мароко
108,Dalian,Dalian,38.9228,121.6298,China,CN,CHN,Liaoning,,3167000.0,Кина
